track_name,album_name,popularity,track_duration_ms,explicit,artist_id,release_year,artist_name,genres,charted_year,years_since_release
lovely (with Khalid),lovely (with Khalid),90,200185,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2018,Billie Eilish,,2019,1
ocean eyes,Ocean Eyes,76,200560,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2016,Billie Eilish,,2019,3
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",88,196077,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2019,Billie Eilish,,2019,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",88,222369,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2023,Billie Eilish,,2019,4
LUNCH,HIT ME HARD AND SOFT,88,179586,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2024,Billie Eilish,,2019,5
TV,Guitar Songs,87,281380,FALSE,6qqNVTkY8uBg9cP3Jd7DAH,2022,Billie Eilish,,2019,3
we can't be friends (wait for your love),eternal sunshine,89,228639,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2024,Ariana Grande,pop,2019,5
twilight zone,eternal sunshine deluxe: brighter days ahead (a cappella version),81,198320,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2025,Ariana Grande,pop,2019,6
supernatural,eternal sunshine,87,163381,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2024,Ariana Grande,pop,2019,5
One Last Time,My Everything (Deluxe),86,197266,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2014,Ariana Grande,pop,2019,5
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),83,191013,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2020,Ariana Grande,pop,2019,1
Into You,Dangerous Woman,76,244453,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2016,Ariana Grande,pop,2019,3
7 rings,"thank u, next",85,178626,TRUE,66CXWjxzNUsdJxJ2JdwvnR,2019,Ariana Grande,pop,2019,0
Dangerous Woman,Dangerous Woman,73,235946,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2016,Ariana Grande,pop,2019,3
the boy is mine,eternal sunshine,83,173639,TRUE,66CXWjxzNUsdJxJ2JdwvnR,2024,Ariana Grande,pop,2019,5
Side To Side,Dangerous Woman,71,226160,TRUE,66CXWjxzNUsdJxJ2JdwvnR,2016,Ariana Grande,pop,2019,3
DtMF,DeBÍ TiRAR MáS FOToS,97,237117,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,96,367725,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
EoO,DeBÍ TiRAR MáS FOToS,94,204768,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
NUEVAYoL,DeBÍ TiRAR MáS FOToS,94,183685,FALSE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,93,156364,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
VeLDÁ,DeBÍ TiRAR MáS FOToS,93,235336,TRUE,4q3ewBCX7sLwd24euuV69X,2025,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,6
Qué Pasaría...,Cosa Nuestra,91,191018,TRUE,4q3ewBCX7sLwd24euuV69X,2024,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",2019,5
