track_name,album_name,popularity,track_duration_ms,explicit,artist_id,artist_name,year
One Last Time,My Everything (Deluxe),86,197266,FALSE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),83,191013,FALSE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
Into You,Dangerous Woman,76,244453,FALSE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
7 rings,"thank u, next",85,178626,TRUE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
Dangerous Woman,Dangerous Woman,73,235946,FALSE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
the boy is mine,eternal sunshine,83,173639,TRUE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
dandelion,eternal sunshine deluxe: brighter days ahead (a cappella version),76,204815,FALSE,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2024
LUNA,FERXXOCALIPSIS,89,196800,FALSE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
PERRO NEGRO,nadie sabe lo que va a pasar mañana,86,162767,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
+57,+57,85,298130,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
Feliz Cumpleaños Ferxxo,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,83,155960,FALSE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
Hey Mor,OzuTochi,83,196600,FALSE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
CLASSY 101,FERXXOCALIPSIS,80,195586,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
Normal,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,81,171880,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,82,207746,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
SE ME OLVIDA,SE ME OLVIDA,82,225373,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
LA INOCENTE,MICRODOSIS,81,202173,TRUE,2LRoIwlKmHjgvigdNGBHNo,Feid,2024
