"","album_id","album_name","album_release_date","album_artists","total_tracks","album_url","track_id","track_name","track_number","track_artists","track_duration_ms","track_explicit"
"46","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","7J2gyNghNTzl4EsLhXp01Q","infinity (888) - feat. Joey Bada$$",8,"XXXTENTACION, Joey Bada$$",176590,TRUE
"47","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","7CkbRn6S0itJqcqn88AtSV","going down!",9,"XXXTENTACION",115194,TRUE
"48","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","4zI04ezdmrN0lT2pHykYrd","Pain = BESTFRIEND - feat. Travis Barker",10,"XXXTENTACION, Travis Barker",101516,FALSE
"49","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","65u1dHQyQyE4y4aN2eDmMF","$$$ - with Matt Ox",11,"XXXTENTACION, Matt OX",130403,TRUE
"50","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","1Znlc3UZAbSodFaMBjdpsX","love yourself (interlude)",12,"XXXTENTACION",48422,TRUE
"51","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","6rAGFgcGtlIdYxlhDizXNo","SMASH! - feat. PnB Rock",13,"XXXTENTACION, PnB Rock",109556,TRUE
"52","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","14boA065HMHWvqyPPEeN4y","I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",14,"XXXTENTACION, Rio Santana, Judah, Andrez Babii",192229,FALSE
"53","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","7AFASza1mXqntmGtbxXprO","changes",15,"XXXTENTACION",121886,FALSE
"54","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","2ZRo7axmMPeSVUvDbGkJah","Hope",16,"XXXTENTACION",110886,TRUE
"55","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","5b6zjsBrZCqe6RFycLz2tc","schizophrenia",17,"XXXTENTACION",80190,FALSE
"56","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16","XXXTENTACION",18,"https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm","16x9bQHw8TBNaGDyULvwad","before I close my eyes",18,"XXXTENTACION",99658,FALSE
"57","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","4AUmyNUCGemtEcOMTNlkNx","Genesis",1,"Dua Lipa",205720,FALSE
"58","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","4sYCWzivvHyGGAbz8JTbbQ","Lost In Your Light (feat. Miguel)",2,"Dua Lipa, Miguel",203769,FALSE
"59","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","7G8bmgKbwPQdwsGXC9QWcL","Hotter Than Hell",3,"Dua Lipa",187957,FALSE
"60","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","6JpntAGPPC5mhzOKBpXeL9","Be the One",4,"Dua Lipa",202914,FALSE
"61","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","1ny60YCHhEsxsJXWLhK7b0","IDGAF",5,"Dua Lipa",217946,TRUE
"62","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","797HyfWx7ZHVMOOawVSNuP","Blow Your Mind (Mwah)",6,"Dua Lipa",178583,TRUE
"63","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","004MiktqrlEPng9SDw4N9d","Garden",7,"Dua Lipa",227946,FALSE
"64","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","08hu72Vi94UmIpLkmk5Cvs","No Goodbyes",8,"Dua Lipa",216080,FALSE
"65","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","3GlcH544cl8c24886zoKfM","Thinking 'Bout You",9,"Dua Lipa",171946,FALSE
"66","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","6tF92PMv01Ug9Dh8Rmy6nH","New Rules",10,"Dua Lipa",209320,FALSE
"67","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","4PWgkvdYqkv8mUtSIQ6iXW","Begging",11,"Dua Lipa",194106,FALSE
"68","2vlhlrgMaXqcnhRqIEV9AP","Dua Lipa","2017-06-02","Dua Lipa",12,"https://open.spotify.com/album/2vlhlrgMaXqcnhRqIEV9AP","77lCOoGlNEPMOXEKlpOPpN","Homesick",12,"Dua Lipa",230480,FALSE
"69","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","7oolFzHipTMg2nL7shhdz2","Eraser",1,"Ed Sheeran",227426,FALSE
"70","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","6PCUP3dWmTjcTtXY02oFdT","Castle on the Hill",2,"Ed Sheeran",261153,FALSE
"71","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","51ChrwmUPDJvedPQnIU8Ls","Dive",3,"Ed Sheeran",238440,FALSE
"72","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","7qiZfU4dY1lWllzX7mPBI3","Shape of You",4,"Ed Sheeran",233712,FALSE
"73","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","0tgVpDi06FyKpA1z0VMD4v","Perfect",5,"Ed Sheeran",263400,FALSE
"74","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","0afhq8XCExXpqazXczTSve","Galway Girl",6,"Ed Sheeran",170826,FALSE
"75","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","2RttW7RAu5nOAfq6YFvApB","Happier",7,"Ed Sheeran",207520,FALSE
"76","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","5HDPtsnyb3maFmPL8LLUTG","New Man",8,"Ed Sheeran",189280,FALSE
"77","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","2dfHh7ECGxfNqZTQno09Vk","Hearts Don't Break Around Here",9,"Ed Sheeran",248413,FALSE
"78","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","2pJZ1v8HezrAoZ0Fhzby92","What Do I Know?",10,"Ed Sheeran",237333,FALSE
"79","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","6PJ8FF6UR8FZXfEvpHkIVN","How Would You Feel (Paean)",11,"Ed Sheeran",280533,FALSE
"80","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","4VuS959DSpr82t3qBqCrWG","Supermarket Flowers",12,"Ed Sheeran",221106,FALSE
"81","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","3Lfiu5sZ4M4B6JaKMBc0FU","Barcelona",13,"Ed Sheeran",191146,FALSE
"82","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","6SznMYPQJHzr3IwsAHLId2","Bibia Be Ye Ye",14,"Ed Sheeran",176746,FALSE
"83","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","35QZaWQRkmnAVqBF1TLCxQ","Nancy Mulligan",15,"Ed Sheeran",179786,FALSE
"84","3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","2017-03-03","Ed Sheeran",16,"https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu","6TIU9Ehmi6dMzZK73Ym4yj","Save Myself",16,"Ed Sheeran",247106,FALSE
"85","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","0rQtoQXQfwpDW0c7Fw1NeM","!!!!!!!",1,"Billie Eilish",13578,FALSE
"86","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","2Fxmhks0bxGSBdJ92vM42m","bad guy",2,"Billie Eilish",194087,FALSE
"87","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","4QIo4oxwzzafcBWkKjDpXY","xanny",3,"Billie Eilish",243725,FALSE
"88","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","3XF5xLJHOQQRbWya6hBp7d","you should see me in a crown",4,"Billie Eilish",180952,FALSE
"89","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","6IRdLKIyS4p7XNiP8r6rsx","all the good girls go to hell",5,"Billie Eilish",168839,FALSE
"90","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","3Fj47GNK2kUF0uaEDgXLaD","wish you were gay",6,"Billie Eilish",221543,FALSE
"91","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","43zdsphuZLzwA9k4DJhU0I","when the party's over",7,"Billie Eilish",196077,FALSE
"92","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","6X29iaaazwho3ab7GNue5r","8",8,"Billie Eilish",173201,FALSE
"93","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","3Tc57t9l2O8FwQZtQOvPXK","my strange addiction",9,"Billie Eilish",179889,FALSE
"94","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","4SSnFejRGlZikf02HLewEF","bury a friend",10,"Billie Eilish",193143,FALSE
"95","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","7qEKqBCD2vE5vIBsrUitpD","ilomilo",11,"Billie Eilish",156370,FALSE
"96","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","0tMSssfxAL2oV8Vri0mFHE","listen before i go",12,"Billie Eilish",242652,FALSE
"97","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","6CcJMwBtXByIz4zQLzFkKc","i love you",13,"Billie Eilish",291796,FALSE
"98","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019-03-29","Billie Eilish",14,"https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh","3LgWsmilsrWXiPYQFRD0T7","goodbye",14,"Billie Eilish",119409,FALSE
