album_id,album_name,release_date,total_tracks,popularity,album_type,track_id,track_name,track_number,track_artists,track_duration_ms,track_explicit,charted_year,track_popularity,features
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,9,Ed Sheeran,248413,FALSE,2018,63,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,10,Ed Sheeran,237333,FALSE,2018,68,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),11,Ed Sheeran,280533,FALSE,2018,67,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,12,Ed Sheeran,221106,FALSE,2018,76,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,3Lfiu5sZ4M4B6JaKMBc0FU,Barcelona,13,Ed Sheeran,191146,FALSE,2018,66,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,6SznMYPQJHzr3IwsAHLId2,Bibia Be Ye Ye,14,Ed Sheeran,176746,FALSE,2018,62,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,35QZaWQRkmnAVqBF1TLCxQ,Nancy Mulligan,15,Ed Sheeran,179786,FALSE,2018,70,0
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,89,album,6TIU9Ehmi6dMzZK73Ym4yj,Save Myself,16,Ed Sheeran,247106,FALSE,2018,61,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,0rQtoQXQfwpDW0c7Fw1NeM,!!!!!!!,1,Billie Eilish,13578,FALSE,2019,21,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,2Fxmhks0bxGSBdJ92vM42m,bad guy,2,Billie Eilish,194087,FALSE,2019,84,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,4QIo4oxwzzafcBWkKjDpXY,xanny,3,Billie Eilish,243725,FALSE,2019,73,0
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14,88,album,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,4,Billie Eilish,180952,FALSE,2019,79,0
