track_name,artist_name,word
Passionfruit,Drake,read
Passionfruit,Drake,hold
Passionfruit,Drake,hold
Passionfruit,Drake,fuck
Passionfruit,Drake,fuck
Passionfruit,Drake,shit
Passionfruit,Drake,hold
Passionfruit,Drake,start
Passionfruit,Drake,motherfuckin
Passionfruit,Drake,record
Passionfruit,Drake,wait
Passionfruit,Drake,minute
Passionfruit,Drake,fuck
Passionfruit,Drake,shit
Passionfruit,Drake,motherfuckin
Passionfruit,Drake,record
Passionfruit,Drake,ima
Passionfruit,Drake,play
Passionfruit,Drake,motherfucker
Passionfruit,Drake,yall
Passionfruit,Drake,ayy
Passionfruit,Drake,yall
Passionfruit,Drake,drinks
Passionfruit,Drake,goin
Passionfruit,Drake,ill
Passionfruit,Drake,sound
Passionfruit,Drake,lot
Passionfruit,Drake,listen
Passionfruit,Drake,seein
Passionfruit,Drake,ritualistic
Passionfruit,Drake,cleansin
Passionfruit,Drake,soul
Passionfruit,Drake,addiction
Passionfruit,Drake,im
Passionfruit,Drake,fallin
Passionfruit,Drake,yeah
Passionfruit,Drake,tension
Passionfruit,Drake,picket
Passionfruit,Drake,fences
Passionfruit,Drake,issues
Passionfruit,Drake,wont
Passionfruit,Drake,mention
Passionfruit,Drake,fallin
Passionfruit,Drake,passionate
Passionfruit,Drake,miles
Passionfruit,Drake,passive
Passionfruit,Drake,passin
Passionfruit,Drake,blame
Passionfruit,Drake,passionate
Passionfruit,Drake,miles
Passionfruit,Drake,passive
Passionfruit,Drake,passin
Passionfruit,Drake,blame
Passionfruit,Drake,listen
Passionfruit,Drake,harder
Passionfruit,Drake,buildin
Passionfruit,Drake,trust
Passionfruit,Drake,distance
Passionfruit,Drake,rule
Passionfruit,Drake,commitment
Passionfruit,Drake,fallin
Passionfruit,Drake,leavin
Passionfruit,Drake,youre
Passionfruit,Drake,dont
Passionfruit,Drake,pick
Passionfruit,Drake,pieces
Passionfruit,Drake,leave
Passionfruit,Drake,fallin
Passionfruit,Drake,passionate
Passionfruit,Drake,miles
Passionfruit,Drake,passive
Passionfruit,Drake,passin
Passionfruit,Drake,blame
Passionfruit,Drake,passionate
Passionfruit,Drake,miles
Passionfruit,Drake,passive
Passionfruit,Drake,passin
Passionfruit,Drake,blame
Passionfruit,Drake,um
DIE TRYING,Drake,NA
She Will,Drake,NA
God's Plan,Drake,gods
God's Plan,Drake,plan
God's Plan,Drake,feelgood
God's Plan,Drake,track
God's Plan,Drake,discusses
God's Plan,Drake,drakes
God's Plan,Drake,future
God's Plan,Drake,industry
God's Plan,Drake,people
God's Plan,Drake,fail
God's Plan,Drake,god
God's Plan,Drake,wont
God's Plan,Drake,key
God's Plan,Drake,subject
God's Plan,Drake,song
God's Plan,Drake,read
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,wishin
God's Plan,Drake,yeah
God's Plan,Drake,movin
God's Plan,Drake,calm
God's Plan,Drake,dont
God's Plan,Drake,start
God's Plan,Drake,trouble
God's Plan,Drake,tryna
God's Plan,Drake,peaceful
God's Plan,Drake,struggle
God's Plan,Drake,dont
God's Plan,Drake,pull
God's Plan,Drake,6
God's Plan,Drake,cuddle
God's Plan,Drake,lovin
God's Plan,Drake,dont
God's Plan,Drake,wanna
God's Plan,Drake,die
God's Plan,Drake,miss
God's Plan,Drake,wishin
God's Plan,Drake,hope
God's Plan,Drake,brothers
God's Plan,Drake,outlive
God's Plan,Drake,gon
God's Plan,Drake,story
God's Plan,Drake,shit
God's Plan,Drake,gods
God's Plan,Drake,plan
God's Plan,Drake,gods
God's Plan,Drake,plan
God's Plan,Drake,hold
God's Plan,Drake,wont
God's Plan,Drake,yeah
God's Plan,Drake,feel
God's Plan,Drake,dont
God's Plan,Drake,ayy
God's Plan,Drake,dont
God's Plan,Drake,finessed
God's Plan,Drake,weston
God's Plan,Drake,road
God's Plan,Drake,ayy
